train/explained_variance,train/value_loss,time/time_elapsed,time/fps,time/iterations,train/policy_loss,train/learning_rate,train/n_updates,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean
0.8775292783975601,0.0021598057355731726,31,125,100,-0.05417495593428612,0.0002,99,-1.2338106632232666,4000,,
0.9972816079389304,0.00010804571502376348,62,127,200,-0.004761489573866129,0.0002,199,-0.7832478284835815,8000,-52.282241375,1000.0
0.2851386070251465,0.2506466805934906,93,128,300,-0.04699140414595604,0.0002,299,-1.2388620376586914,12000,-52.282241375,1000.0
0.9100905284285545,9.178165782941505e-05,125,127,400,-0.008020157925784588,0.0002,399,-1.0873998403549194,16000,-55.720446125,1000.0
0.9157449826598167,0.00038657538243569434,156,127,500,-0.021213380619883537,0.0002,499,-1.0524531602859497,20000,-55.720446125,1000.0
0.9847586881369352,0.0007508902344852686,187,128,600,-0.015428473241627216,0.0002,599,-0.7364534139633179,24000,-61.46568316666666,1000.0
0.9974722918123007,0.0007237535319291055,218,128,700,-0.01070117112249136,0.0002,699,-0.5767607688903809,28000,-61.46568316666666,1000.0
0.9968809166457504,0.0005226945504546165,249,128,800,-0.010176695883274078,0.0002,799,-0.7141209840774536,32000,-66.02701471875,1000.0
0.9896837854757905,0.0006240499787963927,281,127,900,-0.010619784705340862,0.0002,899,-0.6098930239677429,36000,-66.02701471875,1000.0
0.8715231865644455,0.0011124716838821769,313,127,1000,0.00022822493338026106,0.0002,999,-0.5005418658256531,40000,-68.802850775,1000.0
0.05509692430496216,0.8872331976890564,345,127,1100,0.008539128117263317,0.0002,1099,-0.1795870065689087,44000,-68.802850775,1000.0
0.9853705009445548,0.00039497498073615134,376,127,1200,-0.005240560509264469,0.0002,1199,-0.15820752084255219,48000,-70.76846533333334,1000.0
0.9983932073228061,0.00011121454735985026,409,126,1300,-0.0002416114875813946,0.0002,1299,-0.14353308081626892,52000,-70.76846533333334,1000.0
0.9934352445416152,0.00048464705469086766,442,126,1400,-0.002020948799327016,0.0002,1399,-0.08741139620542526,56000,-72.34910116071428,1000.0
0.9973063331563026,0.0001485880493419245,474,126,1500,-0.00012112152762711048,0.0002,1499,-0.07093404233455658,60000,-72.34910116071428,1000.0
0.9982487107627094,8.801261719781905e-05,506,126,1600,-5.099241388961673e-05,0.0002,1599,-0.0480370931327343,64000,-74.2649741875,1000.0
0.9940137094818056,0.00039812084287405014,539,126,1700,0.0008538658148609102,0.0002,1699,-0.07965729385614395,68000,-74.2649741875,1000.0
0.9840579368174076,0.00033669566619209945,572,125,1800,7.448451651725918e-05,0.0002,1799,-0.032060541212558746,72000,-75.54564945833333,1000.0
0.9767289161682129,0.00019352592062205076,603,125,1900,0.0024595288559794426,0.0002,1899,-0.021679511293768883,76000,-75.54564945833333,1000.0
0.9883615197613835,0.0004411296104080975,634,126,2000,6.734066846547648e-05,0.0002,1999,-0.026362819597125053,80000,-76.89555845,1000.0
0.9744399189949036,0.00045008552842773497,665,126,2100,4.684640225605108e-05,0.0002,2099,-0.01935346983373165,84000,-76.89555845,1000.0
0.992494149133563,0.00048046643496491015,696,126,2200,3.08194721583277e-05,0.0002,2199,-0.01317639835178852,88000,-78.04357129545456,1000.0
0.9859985485672951,0.0004673231451306492,727,126,2300,2.7986765417153947e-05,0.0002,2299,-0.012123256921768188,92000,-78.04357129545456,1000.0
0.9941400145180523,0.0004172708431724459,759,126,2400,5.036863876739517e-05,0.0002,2399,-0.021521717309951782,96000,-78.95554378125,1000.0
0.9937705872580409,0.00028935857699252665,791,126,2500,0.00010655490041244775,0.0002,2499,-0.04957655072212219,100000,-78.95554378125,1000.0
