time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/n_updates,train/std,train/policy_gradient_loss,train/clip_fraction,train/learning_rate
1,2048,13,155,1000.0,-50.9139275,,,,,,,,,,,
2,4096,31,129,1000.0,-49.593664749999995,-0.011302947998046875,-4.2536966651678085,0.9445376681163907,0.2,0.005811881,0.3198850452899933,10,0.9980968236923218,-0.005267697855015285,0.05986328125,0.0002
3,6144,50,121,1000.0,-48.36570016666667,0.01641911268234253,-4.236375932395458,0.9077011940069497,0.2,0.005233155,0.5841939449310303,20,0.988133430480957,-0.003086522943340242,0.039892578125,0.0002
4,8192,70,115,1000.0,-50.91288575,0.02948397397994995,-4.211685805022716,0.8885985603556037,0.2,0.0076137083,0.14287321269512177,30,0.9819790720939636,-0.006516453478252515,0.079443359375,0.0002
5,10240,93,109,1000.0,-46.4658382,0.04546087980270386,-4.193621361255646,0.8139570465311408,0.2,0.0033282368,0.40164703130722046,40,0.9766637682914734,-0.0017132704582763837,0.029833984375,0.0002
6,12288,120,102,1000.0,-47.02933050000001,0.04221433401107788,-4.167420810461044,1.0025868045166135,0.2,0.006546327,0.4190486967563629,50,0.965705394744873,-0.004588537229574285,0.059130859375,0.0002
7,14336,146,97,1000.0,-46.09729950000001,0.040776193141937256,-4.133781099319458,1.0219987595453859,0.2,0.007588512,0.3538483679294586,60,0.955352783203125,-0.008277919785177801,0.088916015625,0.0002
8,16384,173,94,1000.0,-46.3639676875,0.033750832080841064,-4.112909010052681,1.1548547161743046,0.2,0.004964454,0.40218454599380493,70,0.9528459310531616,-0.002588582507451065,0.04013671875,0.0002
9,18432,200,92,1000.0,-47.447691666666664,0.05330193042755127,-4.094559623301029,1.1766367994248867,0.2,0.0066859084,0.6314595341682434,80,0.944669246673584,-0.004419319386943244,0.05068359375,0.0002
10,20480,226,90,1000.0,-47.44857365,0.06062746047973633,-4.076029656827449,1.1973143234848975,0.2,0.0055167847,0.4307437837123871,90,0.9406206011772156,-0.0015550642099697142,0.0443359375,0.0002
11,22528,253,88,1000.0,-49.229479,0.028580844402313232,-4.061314401030541,1.527962918486446,0.2,0.006362846,0.6613463759422302,100,0.9361637830734253,-0.0053715208749054,0.070947265625,0.0002
12,24576,283,86,1000.0,-49.366020166666665,0.6461113095283508,-4.053962986171245,0.7390216413885355,0.2,0.0041424837,0.2606823146343231,110,0.9349976778030396,-0.0018460499035427348,0.02080078125,0.0002
13,26624,311,85,1000.0,-47.144357115384615,0.7392174601554871,-4.045057466626167,1.008942715357989,0.2,0.0037816234,0.2461651712656021,120,0.9312512874603271,-0.0011346504354150966,0.022314453125,0.0002
14,28672,340,84,999.7142857142857,-50.04669464285714,0.800104096531868,-4.03748204857111,1.4051101953722536,0.2,0.005527678,0.7018120288848877,130,0.9303188323974609,-0.0021039334882516415,0.026513671875,0.0002
15,30720,366,83,999.7333333333333,-47.22889636666667,0.24802148342132568,-4.036943425238133,31.38778916364536,0.2,0.0072580725,23.351726531982422,140,0.9306089282035828,-0.002707518360693939,0.046875,0.0002
16,32768,396,82,999.75,-46.394391062500006,0.8570895045995712,-4.030591906607151,2.7153853911906483,0.2,0.0048466707,0.5567104816436768,150,0.9270142912864685,-0.002498610847396776,0.0193359375,0.0002
17,34816,427,81,999.7647058823529,-47.53140520588236,0.8947645276784897,-4.023875525593757,1.2247643198934384,0.2,0.008911639,0.33574846386909485,160,0.9271883368492126,-0.002365772408666089,0.056591796875,0.0002
18,36864,456,80,999.7777777777778,-46.35059955555556,0.6859622895717621,-4.023709946870804,3.7151010604109613,0.2,0.00929911,1.4972248077392578,170,0.9264464378356934,-0.004381119264871813,0.05634765625,0.0002
19,38912,487,79,999.7894736842105,-45.764129000000004,0.7716242671012878,-4.022174844145775,5.144499316439033,0.2,0.00578099,1.828912615776062,180,0.9260746836662292,-0.00284724884404568,0.054150390625,0.0002
20,40960,517,79,999.8,-45.7214647,0.7229325473308563,-4.018208774924278,3.019571085460484,0.2,0.0075341812,1.0758402347564697,190,0.9239670634269714,-0.00013648329331772402,0.048095703125,0.0002
